latitude,longitude,acq_date,acq_time,frp,bright_ti4,confidence,satellite,instrument,daynight
22.30,70.80,2026-09-10,0100,180,350,h,DEMO,DEMO,N
22.301,70.801,2026-09-10,1300,200,355,h,DEMO,DEMO,D
22.302,70.802,2026-09-11,0100,190,352,h,DEMO,DEMO,N
21.17,72.83,2026-09-10,0200,75,330,n,DEMO,DEMO,N
21.171,72.831,2026-09-10,1400,90,338,n,DEMO,DEMO,D
21.172,72.832,2026-09-11,0200,82,333,n,DEMO,DEMO,N
20.30,85.80,2026-09-10,0400,40,320,n,DEMO,DEMO,N
20.301,85.801,2026-09-10,1600,50,325,n,DEMO,DEMO,D
30.70,76.70,2026-09-10,0600,15,305,l,DEMO,DEMO,D
30.701,76.701,2026-09-10,1800,20,310,l,DEMO,DEMO,N
